Date,Area,Location,CommonName,SpeciesName,Fate,Reason for euthanasia,Marine Park,Latitude,Longitude
24/12/2022,Townsville,Alma Bay,PIGEYE WHALER,Carcharhinus amboinensis,Deceased,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
27/12/2022,Townsville,Florence Bay,TIGER SHARK,Galeocerdo cuvier,Released Alive,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
29/12/2022,Capricorn Coast,Emu Park,BULL WHALER,Carcharhinus leucas,Released Alive,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
29/12/2022,Townsville,Florence Bay,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Deceased,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
29/12/2022,Townsville,Horseshoe Bay,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Deceased,Great Barrier Reef Coast Marine Park (GBRCMP),,,
29/12/2022,Townsville,Radical Bay,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Deceased,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
29/12/2022,Townsville,Radical Bay,TIGER SHARK,Galeocerdo cuvier,Released Alive,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
4/7/2016,Capricorn Coast,Emu Park,TIGER SHARK,Galeocerdo cuvier,Euthanised,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
5/7/2016,Mackay,Eimeo Beach,TIGER SHARK,Galeocerdo cuvier,Euthanised,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
6/7/2016,Townsville,Horseshoe Bay,FANTAIL RAY,Pastinachus atrus,Released alive,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
9/7/2016,Gladstone,Tannum Sands,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
16/7/2016,Townsville,Palarenda Beach,GREAT HAMMERHEAD,Sphyrna mokarran,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
16/7/2016,Townsville,Radical Bay,TIGER SHARK,Galeocerdo cuvier,Euthanised,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
18/7/2016,Townsville,Nelly Bay,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
19/7/2016,Townsville,Nelly Bay,GREAT HAMMERHEAD,Sphyrna mokarran,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
20/7/2016,Cairns,Ellis Beach,TIGER SHARK,Galeocerdo cuvier,Euthanised,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
22/7/2016,Mackay,Eimeo Beach,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
23/7/2016,Cairns,Clifton ,LONG NOSE WHALER,Carcharhinus brevipinna,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
27/7/2016,Townsville,Radical Bay,AUSTRALIAN BLACKTIP,Carcharhinus tilstoni,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
27/7/2016,Gladstone,Tannum Sands,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
27/7/2016,Townsville,Radical Bay,TIGER SHARK,Galeocerdo cuvier,Euthanised,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
30/7/2016,Townsville,Florence Bay,TAWNY SHARK,Nebrius ferrugineus,Released alive,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
2/8/2016,Gladstone,Tannum Sands,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
2/8/2016,Townsville,Radical Bay,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
2/8/2016,Cairns,Ellis Beach,SLIT EYE SHARK,Loxodon macrorhinus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
2/8/2016,Mackay,Bucasia Beach,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
7/8/2016,Cairns,Ellis Beach,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
7/8/2016,Cairns,Trinity ,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
9/8/2016,Cairns,Ellis Beach,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
9/8/2016,Mackay,Blacks Beach,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
10/8/2016,Townsville,Florence Bay,GREAT HAMMERHEAD,Sphyrna mokarran,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
10/8/2016,Townsville,Radical Bay,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
12/8/2016,Gladstone,Tannum Sands,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
13/8/2016,Mackay,Eimeo Beach,SHOVELNOSED RAY ,Aptychotrema rostrata,Released alive,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
18/8/2016,Townsville,Nelly Bay,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
18/8/2016,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
18/8/2016,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
18/8/2016,Townsville,Nelly Bay,LONG NOSE WHALER,Carcharhinus brevipinna,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
22/8/2016,Townsville,Alma Bay,TIGER SHARK,Galeocerdo cuvier,Euthanised,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
22/8/2016,Townsville,Horseshoe Bay,TIGER SHARK,Galeocerdo cuvier,Euthanised,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
24/8/2016,Cairns,Trinity ,GIANT TREVALLY,Caranx sexfasciatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
25/8/2016,Townsville,Horseshoe Bay,BULL WHALER,Carcharhinus leucas,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
26/8/2016,Cairns,Ellis Beach,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
29/8/2016,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
29/8/2016,Townsville,Horseshoe Bay,SCALLOPED HAMMERHEAD,Sphyrna lewini,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
29/8/2016,Townsville,Florence Bay,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
30/8/2016,Townsville,Palarenda Beach,SPOT-TAIL WHALER,Carcharhinus sorrah ,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
3/9/2016,Townsville,Nelly Bay,GREAT HAMMERHEAD,Sphyrna mokarran,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
5/9/2016,Townsville,Alma Bay,SPOT-TAIL WHALER,Carcharhinus sorrah ,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
9/9/2016,Townsville,Horseshoe Bay,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
10/9/2016,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
13/9/2016,Cairns,Clifton ,CREEK WHALER,Carcharhinus fitzroyensis,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
17/9/2016,Cairns,Trinity ,MILK SHARK,Rhizoprionodon acutus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
17/9/2016,Townsville,Florence Bay,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
19/9/2016,Townsville,Horseshoe Bay,TIGER SHARK,Galeocerdo cuvier,Euthanised,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
20/9/2016,Gladstone,Tannum Sands,COMMON BLACKTIP WHALER,Carcharhinus limbatus,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
21/9/2016,Capricorn Coast,Kemp Beach,SHOVELNOSED RAY ,Aptychotrema rostrata,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
22/9/2016,Capricorn Coast,Emu Park,SPOT-TAIL WHALER,Carcharhinus sorrah ,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
22/9/2016,Capricorn Coast,Emu Park,SPOT-TAIL WHALER,Carcharhinus sorrah ,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
22/9/2016,Capricorn Coast,Tanby Point,SPOT-TAIL WHALER,Carcharhinus sorrah ,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
24/9/2016,Townsville,Florence Bay,AUSTRALIAN BLACKTIP,Carcharhinus tilstoni,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
28/9/2016,Townsville,Horseshoe Bay,TAWNY SHARK,Nebrius ferrugineus,Released alive,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
30/9/2016,Cairns,Clifton ,SCALLOPED HAMMERHEAD,Sphyrna lewini,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
1/10/2016,Capricorn Coast,Emu Park,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
3/10/2016,Gladstone,Tannum Sands,HARDNOSE WHALER,Carcharhinus malcloti,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
3/10/2016,Capricorn Coast,Fishermans Beach,TAWNY SHARK,Nebrius ferrugineus,Released alive,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
4/10/2016,Capricorn Coast,Emu Park,SPOT-TAIL WHALER,Carcharhinus sorrah ,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
8/10/2016,Townsville,Radical Bay,TIGER SHARK,Galeocerdo cuvier,Dead,Commonwealth Great Barrier Reef Marine Park (GBRMP),,,
